tweetid,date,text,favorites,retweets,location,s_label
679705243660062720,2015-12-23,Where has Joe Biden been? Haven't heard anything from him in weeks now. Why is he hiding? What's up with that?,0.0,0.0,United States,-1
686226417361629186,2016-01-10,".@SkyNews @realDonaldTrump ... The at the Democrats have their crazy Joe Biden and the Republicans have Donald Trump, ugh!",0.0,0.0,United States,-1
687092888883343360,2016-01-13,@arig517 but you’ll miss all of Joe Biden’s hilarious faces! And the clapping! And booing! And… You probably have the right idea,0.0,0.0,United States,-1
687094727909478400,2016-01-13,Joe Biden's face makes me laugh everytime I see it💀💀💀 #SOTU,0.0,0.0,United States,-1
687096751153610752,2016-01-13,Joe Biden loves Obama more than any other VP/President relationship... it's a little on the creepy side,0.0,0.0,United States,-1
687096961133088768,2016-01-13,"Joe Biden doesn’t skip leg day. That can be the only reason he’s not standing with the other democrats, right?",0.0,0.0,United States,-1
687098784174731264,2016-01-13,Joe Biden was in 6th grade 60 something years ago and is still cracking jokes during class.,0.0,0.0,United States,-1
687099503866851328,2016-01-13,Joe Biden's white privilege actually bleached his teeth,0.0,0.0,United States,-1
687100495962501122,2016-01-13,Lmao Joe Biden cracks me up,0.0,0.0,United States,-1
687103202156752896,2016-01-13,Does Joe Biden realize he's picking his nose on national television,0.0,0.0,United States,-1
1141876710792728576,2019-06-21,Hunter and Joe Biden down in the shitter and it’s so early yet!,0.0,0.0,United States,-1
696144811712057344,2016-02-07,"Rubio can’t name one thing he’s done. Going with some circular argument using Joe Biden as a straw man, then attacking Obama.
#GOPDebate",0.0,0.0,United States,-1
700049940576387073,2016-02-17,"Oh no,Icertainly hope Joe Biden doesn't come out &embarrass himself by putting down Trump.OMG! Joe,just get your U-hauls ready&start packing",0.0,0.0,United States,-1
1144427239959932929,2019-06-28,DAMN KAMALA HARRIS IS EATING JOE BIDEN FOR DINNER #DemDebate2020 https://t.co/UGJWwiA9ql,0.0,0.0,United States,-1
702130035612917761,2016-02-23,"@foxnation After 7.5 years in office, the best Joe Biden can come up with is a video from 1992 proving he's a ""beltway waffler"". #nitwit",0.0,0.0,United States,-1
702357285117497344,2016-02-24,Can't wait for @realDonaldTrump to cream the lyin #HillaryClinton or Joe Biden I the debates #DemTownHall,0.0,0.0,United States,-1
702854061599535104,2016-02-25,@OzForBernie @irenebernswhere would the gay movement be if Obama hadn't changed his mind it was Joe Biden that started itCome on you phonies,0.0,0.0,United States,-1
704156617533689856,2016-02-29,Joe Biden what 😂😂😂😂,0.0,0.0,United States,-1
704156772617973760,2016-02-29,They standing ovated Joe Biden omg 🙄🙄🙄🙄🙄🙄,0.0,0.0,United States,-1
704156964649984001,2016-02-29,A standing ovation for Joe Biden? My God Hollywood has gone off the deep end #Oscars,0.0,0.0,United States,-1
704156973776965633,2016-02-29,Joe Biden? WTF?,0.0,0.0,United States,-1
704157247165825024,2016-02-29,Joe Biden are u lost,0.0,0.0,United States,-1
704157703434665984,2016-02-29,Fuck you Joe Biden #Oscars,0.0,0.0,United States,-1
717380819833249793,2016-04-05,"Well, Joe Biden is impeding my work in the Strip.. Thanks Obama.",0.0,0.0,United States,-1
721832429770686465,2016-04-17,At 10-ND students say VP Joe Biden & former Speaker John Boehner are not good reps for Catholic values #LaetareMedal https://t.co/wtlEkaO6oW,0.0,0.0,United States,-1
725203297770962945,2016-04-27,the brains of George Clooney in the body of joe Biden,0.0,0.0,United States,-1
725334199746461699,2016-04-27,Trump: Ask Sir Charles to be VP. His is smarter and more entertaining than Joe Biden https://t.co/JTM3ik3pRU,0.0,0.0,United States,-1
726067137496907776,2016-04-29,this is exactly why I didn't want Joe Biden speaking this nigga is annoying like,0.0,0.0,United States,-1
728337693583671296,2016-05-05,Did Joe Biden ever apologize for this mess???? Trying to choose my words carefully #confirmation,0.0,0.0,United States,-1
730408303780462592,2016-05-11,"@politico ""Joe Biden as President"" WOULD be an awful thing to say!",0.0,0.0,United States,-1
732744765331103745,2016-05-18,@CuckShamer @EuropeNextYear Goofy Joe Biden and goofy Liz Warren. What a nightmare,0.0,0.0,United States,-1
733105448690323456,2016-05-19,Joe Biden is really like the uncle that never should gotten involved in politics but is somehow the VP because he's so damn charming.,0.0,0.0,United States,-1
733275792742842368,2016-05-19,Joe Biden should've told his his younger self to get a mouth filter before he sticks his foot in his mouth.,0.0,0.0,United States,-1
753413998004035584,2016-07-14,Ladies & Gentleman: Joe Biden🙄 #Trump #ESPYS,0.0,0.0,United States,-1
765437590900051968,2016-08-16,Joe Biden is just lying so you don't get your feelings hurt lil baby lololololol https://t.co/kpGx01XvSs,0.0,0.0,United States,-1
765487940734779392,2016-08-16,@Thomas1774Paine @Trumpisapatriot JOE BIDEN NEEFS TO SIT THE FUCK DOWN HE HASNT OPEN HISOUTH I'M 8 YEARS TO HELP ME 1 SO HE JUST A IDIOT,0.0,0.0,United States,-1
1156665367634358273,2019-07-31,@austin_walker And then Kamala Harris gets to look like gold as she destroys Joe Biden.,0.0,0.0,United States,-1
766453450875940864,2016-08-19,Is Hillary dying? I don't want the Feckless Kaine sitting in the oval. He seems to be stupider than Crazy Joe Biden https://t.co/v5g8jN6EJz,0.0,0.0,United States,-1
767757881751904256,2016-08-22,Joe Biden has lost his integrity/dignity due to his misguided support of KKKillary! Hs political future is dim! https://t.co/ikITqgbLfz,0.0,0.0,United States,-1
768193957532532736,2016-08-23,@FoxNews OLD JOE BIDEN IS THE BIGGEST PHONY ON EARTH. READ HIS TRUE HISTORY AND YOU WILL SEE. HE`S AN ESTABLISHMENT JOKE.,0.0,0.0,United States,-1
