tweetid,date,text,favorites,retweets,location,s_label
687099201470070785,2016-01-13,Paul Ryan and Joe Biden trying to whisper comments to each other is giving me life #ldhssotu,0.0,0.0,United States,1
687100588585172992,2016-01-13,Joe Biden's toothy grin makes me go weak in the knees #SOTU,0.0,0.0,United States,1
687100630951936001,2016-01-13,Joe Biden is going to single-handedly cure cancer!!!!,0.0,0.0,United States,1
687101139431612416,2016-01-13,I love Joe Biden,0.0,0.0,United States,1
687115152802615296,2016-01-13,"If Joe Biden were to ever decide to throw his hat into the race last minute, I'd camp out at my nearest polling station until November.",0.0,0.0,United States,1
690036919070281728,2016-01-21,".@lewisca16_lewis Bernie Sanders is going to WIN in IOWA and NH
DNC is in panic mode
Talk going around that JOE BIDEN will take HRC's place",0.0,0.0,United States,1
690314049024688128,2016-01-21,@FerroTV HILLERY CLINTON TO BE REPLACED BY JOE BIDEN.....IF TRUMP IS ELECTED PRESIDENT...SHE WILL BE INCARCERATED FOR MANY YEARS.....HHAHAH,0.0,0.0,United States,1
690547358451404800,2016-01-22,"Reps need to stop attacking each other
Joe Biden is who they will be going against and it will not be easy to beat him",0.0,0.0,United States,1
690684874710081537,2016-01-22,@BernPress @cfcpac @kattooparambil @TweetingYarnie can never get his healthcare reform passed. If she loses Joe Biden will run and win,0.0,0.0,United States,1
691129378428702720,2016-01-24,WHY DIDN'T JOE BIDEN RUN FOR THE FUCKING PRESIDENCY,0.0,0.0,United States,1
698648086298685440,2016-02-13,"My picks for replacement of Justice #Scalia.
1)The resurrected corpse of Malcolm X
2)The resurrected corpse of Margaret Sanger
3)Joe Biden",0.0,0.0,United States,1
699139918140801024,2016-02-15,"The CONSTITUTIONAL PRESIDENT OF THE SENATE, Joe Biden, has full authority to declare Senate in recess at will. Obama can then RECESS APPOINT",0.0,0.0,United States,1
1144427225091137539,2019-06-28,Joe Biden is getting lit up right now #DemDebate,0.0,0.0,United States,1
702549036511854592,2016-02-24,"Well, Joe Biden can explain it perfectly. https://t.co/QZNYXPVdMJ",0.0,0.0,United States,1
703072537312436224,2016-02-26,"Really though, Joe Biden should've ran.",0.0,0.0,United States,1
703278621381660673,2016-02-26,Joe Biden is about 2 miles from house rn #tight,0.0,0.0,United States,1
703735163641942016,2016-02-28,Vice President Joe Biden! #CADEM16 https://t.co/9iJpkbhF2g,0.0,0.0,United States,1
703849313571442688,2016-02-28,Joe Biden apologized to Mexico for Trump's comments @LAHSAseniors,0.0,0.0,United States,1
704156667508879360,2016-02-29,WHAT ARE YOU DOING AT THE OSCARS JOE BIDEN I LOVE YOU SO MUCH,0.0,0.0,United States,1
704156822849060864,2016-02-29,JOE BIDEN YES,0.0,0.0,United States,1
704156857938505728,2016-02-29,Joe Biden surprised us all and I am so impressed.,0.0,0.0,United States,1
704156882089484288,2016-02-29,Joe Biden gets all the applause,0.0,0.0,United States,1
704156906147999744,2016-02-29,God I love Joe Biden. #Oscars,0.0,0.0,United States,1
704156933037502464,2016-02-29,Shout out to Joe Biden.,0.0,0.0,United States,1
704156985722208256,2016-02-29,JOE BIDEN!!!!!! I love him. I want to rewatch @thehuntinground 10 times. #Oscars,0.0,0.0,United States,1
704156995885072384,2016-02-29,WHY THE FUCK DIDNT JOE BIDEN RUN FOR PRESIDENT?!,0.0,0.0,United States,1
704157025819824128,2016-02-29,Joe Biden ayeeee! #Oscars,0.0,0.0,United States,1
704157044773883905,2016-02-29,Joe Biden talking about sexual assault and victims rights! Hell yes. ILY Joe! #Oscars,0.0,0.0,United States,1
704157070438830081,2016-02-29,Joe Biden is so incredible. Wow.,0.0,0.0,United States,1
704157096389025792,2016-02-29,Joe Biden just slayed the Oscars,0.0,0.0,United States,1
704157113736515584,2016-02-29,Joe Biden for President,0.0,0.0,United States,1
704157139519053824,2016-02-29,Yes Joe Biden!! Let's fight rape culture!!!!! #Oscars #oscars2016 #consentismandatory,0.0,0.0,United States,1
704157159278432256,2016-02-29,"Yay, Joe Biden #NoMore #Oscars",0.0,0.0,United States,1
704157213107957761,2016-02-29,"Bizarre that it's Joe Biden, but great call to action 👌🏼 #feminism #stopsexualassault #Oscars",0.0,0.0,United States,1
704157275603267584,2016-02-29,Is there still an outside chance Joe Biden could still run!?,0.0,0.0,United States,1
704158292080103426,2016-02-29,If Joe Biden ran for president with Leo Decaprio as his second would anyone not vote for them,0.0,0.0,United States,1
704159335488704512,2016-02-29,Joe Biden needs to just announce that he's Bernie Sanders' VP already!,0.0,0.0,United States,1
704175727877316608,2016-02-29,"Itsonusi Thank you for standing Mr. Joe Biden. I am a survivor. With sincere thanks, Pamela Knight",0.0,0.0,United States,1
704536341715922944,2016-03-01,"Also, Joe Biden's message and Lady Gaga's performance at the Oscars was awesome.",0.0,0.0,United States,1
705167857244512256,2016-03-02,Is anyone still pissed at Joe Biden for not running for president,0.0,0.0,United States,1
